round | plaintext1 | plaintext2 | round key
1|CFDC4FC765B43B19|477F00C83731EC7B|4A99B7F867A1886C
2|59E4FBF7B8655702|CFDC4FC765B43B19|BDE2432699AC471D
3|6F7BDC1FA59B3E5A|59E4FBF7B8655702|67FD8BAE41F85B4A
4|2238ABA9322DD4AE|6F7BDC1FA59B3E5A|9CE73805171222E1
5|1B9FCD9BF7CBB192|2238ABA9322DD4AE|FC27BE32BEB77570
6|5D1278745DF84710|1B9FCD9BF7CBB192|06587E857B6A57F6
7|17CE046CE22DD575|5D1278745DF84710|6A38586EDA4778A6
8|46E6495DEEF3B88C|17CE046CE22DD575|4AC8285A3FED8A4A
9|6346B635EBD7A828|46E6495DEEF3B88C|EB59878463949F6C
10|7825E84A6FBFAE89|6346B635EBD7A828|F55D5DABF9BAB6E4
11|880CB2910F082E9A|7825E84A6FBFAE89|2B95E589C50F3587
12|E40E52066D22BC66|880CB2910F082E9A|BC09710A36BDB085
13|6731CCB0C5365FDA|E40E52066D22BC66|771432347CB0E01F
14|D5E780F89227AD74|6731CCB0C5365FDA|AD6E707CE990F45F
15|2A333533ED1D09BB|D5E780F89227AD74|B91CFAF144B8B373
16|AED58378892DDA8A|2A333533ED1D09BB|C3DAF52AB7764230
17|23924C2E2A7EDE63|AED58378892DDA8A|E774747EE38E3DF6
18|A7027A0AB6C8460D|23924C2E2A7EDE63|859AC1C2C2C2C509
19|F1A5DA859AA19101|A7027A0AB6C8460D|4C3E7E9523FE5B57
20|F570F9B9D1CFB215|F1A5DA859AA19101|35AF6CAF2C80B01E
21|3EB4BCCEF68725F3|F570F9B9D1CFB215|7A3331FDA88A7884
22|632B68D46E72C26E|3EB4BCCEF68725F3|58A12AC2E0A5A491
23|127EA3D10B538A6A|632B68D46E72C26E|A2276C6614DFA260
24|9D6C078B5DD8EE99|127EA3D10B538A6A|931CA1190C66054F
25|35A1997B9258F841|9D6C078B5DD8EE99|7A6F2F9376C8515C
26|766A48944C54E89F|35A1997B9258F841|1C811863585FA702
27|E15A7BA48C589FEF|766A48944C54E89F|651250863FFB54E5
28|607B8BAAFF92E472|E15A7BA48C589FEF|D14889A49A355C93
29|F05B8ACA47956A3E|607B8BAAFF92E472|D06CDD90A7A22478
30|427969B5FDC59858|F05B8ACA47956A3E|A3EEC9329928C0A1
31|749CEACE1C97D683|427969B5FDC59858|8D4257BA6D9CCDDC
32|D7B3AC1EE44F831C|749CEACE1C97D683|CF91AA8F7AD3C04D
33|B1F7E2AC503CE199|D7B3AC1EE44F831C|3881A03D95163F78
34|60E4C651D2ABB43C|B1F7E2AC503CE199|136A64AE56763077
35|3B1BC63BC1F6AE4A|60E4C651D2ABB43C|C9BF3D527A70B742
36|FF8EE7D3E58547ED|3B1BC63BC1F6AE4A|6103312CB25802E9
37|ACB4C6DD9C2B549D|FF8EE7D3E58547ED|E7915C0C4ACA68BB
38|DE6377D61E485446|ACB4C6DD9C2B549D|837E06EBA334C8F5
39|FAE5942D4DB49BB8|DE6377D61E485446|0F9A4BA4A0AE9EB2
40|3BDADE3C4484911A|FAE5942D4DB49BB8|EBAFD117FC179BCF
41|1E7A71C2987F6CEC|3BDADE3C4484911A|5960A15E47D8B10C
42|402F52EA95A19160|1E7A71C2987F6CEC|3A6C895C80B47BD2
43|94634E84EAA8F68C|402F52EA95A19160|8AF6D4790550FFA1
44|7995842068715AF5|94634E84EAA8F68C|487168D1D7239DB7
45|FF79F68144706A97|7995842068715AF5|1C4CA8C45F5F42A6
46|D4D348574F7D7DA4|FF79F68144706A97|2853977236AD1821
47|83FB7B74C65F1DF2|D4D348574F7D7DA4|AECFBCA6A3A221B6
48|C29DB692BC7FDF7D|83FB7B74C65F1DF2|1AD167D6E662E792
49|3181906D708E0727|C29DB692BC7FDF7D|3D3E31773FF15BE0
50|2FEBF83651632D93|3181906D708E0727|2A702F41AF20E872
